Program Name,Type,Specialty,City,State,Address,Phone,Insurance Accepted,Age Group,Beds/Weekly Sessions,Languages,Accreditation,Description
Valley Recovery Center,Outpatient,Dual Diagnosis,Fresno,CA,1234 Fulton St Fresno CA 93721,(559) 555-1414,"Medi-Cal, Blue Shield, Health Net",Adult & Adolescent,"22 sessions/week","English, Spanish, Hmong",CARF,"Dual-diagnosis intensive outpatient program with culturally sensitive care for diverse communities."
Clear Skies Behavioral Health,Outpatient,Eating Disorders,Seattle,WA,1600 Eastlake Ave E Seattle WA 98102,(206) 555-1515,"Medicaid, Premera, Regence",Adult & Adolescent,"30 sessions/week","English, Spanish, Vietnamese",Joint Commission,"Specialized outpatient treatment for eating disorders including anorexia, bulimia, and binge-eating disorder."
Mountain Peak Recovery,Inpatient,Substance Abuse,Salt Lake City,UT,650 Komas Dr Salt Lake City UT 84108,(801) 555-1616,"Medicaid, PEHP, SelectHealth, Cigna",Adult,55 beds,"English, Spanish",Joint Commission,"12-step facilitated residential treatment with spiritual care, fitness programs, and vocational counseling."
Pine Grove Behavioral Health,Inpatient,Dual Diagnosis,Hattiesburg,MS,2255 Broadway Dr Hattiesburg MS 39401,(601) 555-1717,"Medicare, Medicaid, BCBS MS, Humana",Adult,120 beds,"English, Spanish",Joint Commission,"Nationally recognized treatment center for eating disorders, trauma, sexual addiction, and co-occurring disorders."
Pathways to Hope,Outpatient,Mental Health,Memphis,TN,2650 Poplar Ave Memphis TN 38112,(901) 555-1818,"TennCare, Cigna, UnitedHealthcare",All Ages,"20 sessions/week","English, Spanish, Arabic",CARF,"Community-based outpatient mental health center offering therapy, psychiatric medication management, and case management."
The Recovery Village,Inpatient,Substance Abuse,Umatilla,FL,6000 Lake Mist Dr Umatilla FL 32784,(352) 555-1919,"Medicare, Medicaid, Aetna, Cigna, Humana",Adult,274 beds,"English, Spanish",Joint Commission,"Large-scale residential rehab offering medical detox, inpatient, partial hospitalization, and aftercare planning."
Beacon House,Outpatient,Trauma,Portland,OR,1827 NE Alberta St Portland OR 97211,(503) 555-2020,"Medicaid, OHA, PacificSource, Moda",Adult,"16 sessions/week","English, Spanish, Russian, Somali",CARF,"Trauma-focused outpatient program using EMDR, somatic therapy, and DBT for survivors of abuse and complex PTSD."
WestBridge,Inpatient,Dual Diagnosis,Manchester,NH,35 Stark St Manchester NH 03101,(603) 555-2121,"Medicaid, NH Healthy Families, Harvard Pilgrim",Adult,30 beds,"English, Spanish",CARF,"Nationally recognized co-occurring disorders treatment integrating psychiatric care and substance use recovery services."
Rosecrance,Inpatient,Substance Abuse,Rockford,IL,1021 N Mulford Rd Rockford IL 61107,(815) 555-2222,"Medicaid, Blue Cross Blue Shield IL, Aetna",Adolescent,60 beds,"English, Spanish",Joint Commission,"Leading adolescent residential substance abuse treatment center with family involvement and educational support."
Centerstone,Outpatient,Mental Health,Bloomington,IN,645 S Rogers St Bloomington IN 47403,(812) 555-2323,"Medicaid, Anthem, MDwise, UnitedHealthcare",All Ages,"28 sessions/week","English, Spanish",CARF,"One of the nation's largest behavioral health systems providing comprehensive community mental health services."
Hazelden Betty Ford,Inpatient,Substance Abuse,Center City,MN,15251 Pleasant Valley Rd Center City MN 55012,(651) 555-2424,"Medicare, Medicaid, Blue Cross MN, Aetna",Adult,120 beds,"English, Spanish",Joint Commission,"World-renowned addiction treatment center offering evidence-based residential care with long-term recovery support."
Phoenix Houses of New England,Inpatient,Substance Abuse,Dublin,NH,211 Myrtle St Dublin NH 03444,(603) 555-2525,"Medicaid, NH Medicaid, Cigna",Adult & Adolescent,65 beds,"English, Spanish, Portuguese",CARF,"Therapeutic community model residential treatment addressing substance use and life skills development."
High Point Treatment Center,Outpatient,Dual Diagnosis,Boston,MA,460 Quincy Ave Brockton MA 02302,(508) 555-2626,"MassHealth, Blue Cross MA, Tufts",All Ages,"24 sessions/week","English, Spanish, Portuguese, Cape Verdean",CARF,"Comprehensive outpatient behavioral health serving high-need populations with integrated primary care coordination."
Acadia Healthcare,Inpatient,Mental Health,Franklin,TN,830 Crescent Centre Dr Franklin TN 37067,(615) 555-2727,"Medicare, Medicaid, Most major insurers",Adult,150 beds,"English, Spanish",Joint Commission,"National network inpatient psychiatric facility providing acute stabilization and residential mental health treatment."
BAART Programs,Outpatient,Substance Abuse,San Jose,CA,165 N 1st St San Jose CA 95113,(408) 555-2828,"Medi-Cal, Medicare, Covered CA",Adult,"Daily visits","English, Spanish, Vietnamese",SAMHSA-Certified,"Opioid treatment program providing methadone and buprenorphine maintenance with counseling and case management."
Foundations Recovery Network,Inpatient,Dual Diagnosis,Brentwood,TN,5140 Virginia Way Brentwood TN 37027,(615) 555-2929,"Medicare, Aetna, Cigna, United, Humana",Adult,80 beds,"English, Spanish",Joint Commission,"Integrated residential treatment for co-occurring mental health and addiction using evidence-based practices."
Newport Academy,Inpatient,Mental Health,Bethlehem,CT,309 Flanders Rd Bethlehem CT 06751,(203) 555-3030,"Most major commercial insurers",Adolescent,36 beds,"English, Spanish, French",Joint Commission,"Premier adolescent mental health residential program addressing depression, anxiety, trauma, and eating disorders."
Sierra Tucson,Inpatient,Dual Diagnosis,Tucson,AZ,39580 S Lago Del Oro Pkwy Tucson AZ 85739,(520) 555-3131,"Medicare, Cigna, Aetna, Humana, United",Adult,96 beds,"English, Spanish",Joint Commission,"Renowned holistic residential treatment integrating psychiatry, adventure therapy, and mind-body wellness."
Skywood Recovery,Inpatient,Substance Abuse,Augusta,MI,10499 M-89 Augusta MI 49012,(269) 555-3232,"Medicare, BCBS MI, Cigna, Aetna",Adult,55 beds,"English, Spanish",Joint Commission,"Intimate residential addiction treatment program on a serene 50-acre property with equine-assisted therapy."
Clarity Child Guidance Center,Outpatient,Mental Health,San Antonio,TX,8535 Tom Slick Dr San Antonio TX 78229,(210) 555-3333,"Medicaid, CHIP, United, Aetna",Child & Adolescent,"35 sessions/week","English, Spanish",Joint Commission,"Dedicated children's mental health nonprofit offering outpatient therapy, psychiatry, and day treatment programs."
Cottonwood Tucson,Inpatient,Dual Diagnosis,Tucson,AZ,4110 Sweetwater Dr Tucson AZ 85745,(520) 555-3434,"Medicare, Aetna, Cigna, TRICARE",Adult,68 beds,"English, Spanish",CARF,"Residential treatment combining evidence-based psychiatry with experiential and holistic therapies for lasting recovery."
McLean Hospital,Inpatient,Mental Health,Belmont,MA,115 Mill St Belmont MA 02478,(617) 555-3535,"Medicare, Blue Cross MA, Most commercial",Adult & Adolescent,177 beds,"English, Spanish, Mandarin",Joint Commission,"Harvard Medical School affiliate and leading psychiatric hospital offering cutting-edge research and clinical care."
